codigo,endereco,quartos,suite,area,vaga,aluguel,condominio
34,Rua Desembargador Westphalen,2,0,90,0,900,371
167,Rua Jose Loureiro,2,0,64,0,650,428
6784,Rua Jose Loureiro,2,0,81,0,1100,400
82,Rua Lourenço Pinto,2,0,50,0,1350,300
2970,Rua Lourenço Pinto,2,0,63,0,1300,300
34197,Alameda Doutor Muricy,2,0,80,1,900,410
5072,Alameda Doutor Muricy,2,0,84,0,1100,382
469,Rua Desembargador Westphalen,1,0,30,0,550,210
24,Rua Desembargador Westphalen,1,0,60,1,800,120
74,Avenida Visconde de Guarapuava,2,1,132,1,1800,520
9850,Avenida Visconde de Guarapuava,1,0,64,1,600,326
82343,Avenida Sete de Setembro,1,0,45,0,750,420
20802,Avenida Sete de Setembro,1,0,47,0,600,405
568,Rua Alferes Poli,1,0,43,0,600,330
294579,Avenida Silva Jardim,1,0,36,0,550,350
59375,Avenida Silva Jardim,1,0,33,0,560,305
80,Rua Desembargador Westphalen,1,0,80,1,900,350
66490,Rua Desembargador Westphalen,1,0,80,1,1100,350
2381,Rua Rockefeller,2,0,54,0,900,240
44803,Rua Rockefeller,2,0,77,1,950,200
