Bairro,AreaKm2,Homens,Mulheres,Total,Domicilios,RendimentoDom
Alto Boqueiao,"12,11",24824,26331,51155,14301,"1110,63"
Lamenha Pequena,"3,4",353,348,701,188,"665,99"
Xaxim,"8,92",26747,27944,54691,15482,"1211,6"
Riviera,"2,36",100,103,203,62,"423,13"
Sao Miguel,7,2512,2399,4911,1247,"409,43"
Campo de Santana,"21,57",3696,3639,7335,1961,"564,95"
Ganchinho,"11,2",3667,3658,7325,1921,"767,35"
Tatuquara,"11,23",18134,18205,36339,9525,"462,26"
Caximba,"8,17",1252,1223,2475,631,"525,34"
Umbara,"22,47",7280,7315,14595,17064,"908,7"
Augusta,"8,84",1802,1815,3617,995,"619,54"
Boqueirao,"14,8",33158,35337,68495,19750,"1413,53"
Prado Velho,"2,43",3506,3578,7084,1854,"766,57"
Sitio Cercado,"11,12",50631,51779,102410,27914,"934,95"
Cidade Industrial,"43,38",76942,80519,157461,43494,"639,09"
Cachoeira,"3,07",3811,3927,7738,2091,"908,7"
Pinheirinho,"10,73",13358,14549,27907,13839,"707,3"
Cajuru,"11,55",43727,46057,89784,14301,"793,75"
Santa Candida,"10,33",13504,14366,27870,7937,"1211,6"
Fazendinha,"3,72",12751,13371,26122,12071,"833,84"
Lindoia,"1,18",4012,4331,8343,2368,"809,46"
Uberaba,"14,09",29418,30920,60338,15482,"952,14"
Bairro Alto,"7,02",20244,21789,42033,12071,"1211,6"
Capao Raso,"5,06",16586,17790,34376,10320,"977,19"
Barreirinha,"3,73",8079,8942,17021,5024,"1272,18"
Abranches,"4,32",5463,5702,11165,3154,"1009,67"
Parolin,"2,25",5801,6181,11982,3307,"1365,48"
Atuba,"4,27",6156,6476,12632,3627,"1211,6"
Campo Comprido,"8,55",10264,11374,21638,6649,"1216,71"
Butiatuvinha,"10,58",5311,5448,10759,2948,"1135,7"
Capao da Imbuia,"3,16",9933,11043,20976,6209,"1147,78"
Taboao,"1,72",1301,1367,2668,751,"1009,67"
Guaira,"2,32",6859,7409,14268,4187,"1235,61"
Fanny,2,3805,4061,7866,2293,"1189,54"
Pilarzinho,"7,13",13358,14549,27907,7883,"1211,6"
Novo Mundo,"5,99",20628,22371,42999,12917,"1040,4"
Sao Braz,"5,01",11163,11956,23119,6600,"1206,5"
Hauer,"4,02",6581,7270,13851,4240,"1615,47"
Tingui,"2,11",5496,6068,11654,3495,"1615,47"
Orleans,"5,12",3502,3758,7260,2077,"1277,22"
Sao Joao,"3,03",1441,1509,2950,814,"1166,03"
Santa Quiteria,"2,09",5532,6188,11720,3407,"1487,95"
Guabirotuba,"2,63",5029,5649,10678,3068,"1720,98"
Santa Felicidade,"12,27",12157,13052,25209,7202,"1314,67"
Boa Vista,"5,14",13677,15714,29391,9212,"1817,4"
Santo Inacio,"2,72",2940,3097,6037,1683,"1518,26"
Jardim Botanico,"2,77",2813,3340,6153,1980,"1885,75"
Portao,"5,7",19092,21643,40735,13183,"1722,89"
Merces,"3,28",6315,7774,14089,4681,"2475,33"
Vista Alegre,"3,69",4735,5195,9930,2855,"2079,83"
Bom Retiro,"1,94",2586,3047,5633,1780,"2132,75"
Reboucas,"2,98",7136,8482,15618,5813,"2180,47"
Sao Francisco,"1,36",2863,3572,6435,2198,"2309,05"
Cascatinha,"2,57",994,1067,2061,586,"2198,43"
Taruma,"4,17",3396,3649,7045,2015,3029
Centro,"3,3",13961,18662,32623,14576,"2221,51"
Bacacheri,"6,98",10762,12344,23106,7107,3029
Campina do Siqueira,"1,69",3379,3729,7108,2238,"1903,78"
Jd. das Americas,"3,87",6699,7267,13966,3937,"2304,19"
Alto da XV,"1,5",3835,4848,8683,3084,"2612,08"
Ahu,"1,84",5117,6031,11148,3608,"2827,81"
Sao Lourenco,"2,26",2611,2945,5556,1603,"2423,2"
Vila Izabel,"1,21",4993,5956,10949,751,"2438,13"
Cristo Rei,"1,46",6147,7178,13325,5128,"2603,13"
Hugo Lange,"1,15",1443,1724,3167,1010,"3119,76"
Cabral,"2,04",5815,5905,11720,3774,"3914,15"
Jardim Social,"1,89",2893,3192,6085,1674,"4606,6"
Seminario,"2,13",3350,4045,7395,2243,"3210,65"
Juveve,"1,23",4995,6286,11281,3994,"3435,48"
Centro Civico,"0,97",2029,2738,4767,1958,"2878,11"
Agua Verde,"4,76",22546,27320,49866,17045,"3332,57"
Alto da Gloria,"0,88",2513,3075,5588,2125,"3263,47"
Bigorrilho,"3,5",12359,14768,27127,9937,"3792,68"
Mossungue,"3,38",2751,2877,5628,1586,"2965,09"
Batel,"1,76",5126,6652,11778,3938,"5120,73"
